Experiment;Citation;Cit;Compiler;Device;Container;Exp_Type;Lab;Comments;Duration_hrs;P_kbar;T_C;fo2_buffer;delta_buffer;melt_fraction;ol;opx;cpx;plag;amph;mag;sp;ilm;bt;ksp;gt;qz;phase_sum;assemblage;SiO2_start;TiO2_start;Cr2O3_start;Al2O3_start;FeO_start;Fe2O3_start;O_start;MgO_start;CaO_start;Na2O_start;K2O_start;H2O_start;xH2O_in;H2O_method;CO2_start;start_density_calculated;start_density_unc;SiO2_liquid;TiO2_liquid;Al2O3_liquid;FeO_liquid;MgO_liquid;CaO_liquid;Na2O_liquid;K2O_liquid;H2O_liquid;liq_density_calculated;liq_density_unc;sol_density
12;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;775.000;nno;0.000;52.000;0.000;0.000;0.000;24.000;22.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;99.000;plag amph ilm;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.063;0.000;tabulated;3.937;2324.190739;51.35305212;68.010;0.180;12.760;1.290;0.230;2.050;2.750;3.010;6.600;2181.736323;48.26078608;0.000
14;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;2.000;850.000;nno;0.000;61.000;0.000;12.000;0.000;26.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;99.000;opx plag;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.209;0.000;tabulated;3.791;2280.53101;52.93713407;71.410;0.310;16.530;1.730;0.320;1.980;3.310;3.800;4.500;2248.298863;39.28142664;0.000
15;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;2.000;850.000;nno;0.000;51.000;0.000;13.000;0.000;35.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;100.000;opx plag ox;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;3.708;0.000;tabulated;6.292;2374.339392;42.71452481;74.400;0.330;15.500;1.530;0.290;1.400;2.970;4.480;3.200;2281.773491;32.45289209;0.000
17;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;875.000;nno;0.000;89.000;0.000;0.000;0.000;0.000;12.000;2.000;0.000;0.000;0.000;0.000;0.000;0.000;103.000;amph mag;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.409;0.000;tabulated;0.000;2285.776975;53.86472652;63.620;0.360;19.450;1.910;0.880;4.130;3.340;2.490;7.500;2196.155378;55.88306373;0.000
19;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;875.000;nno;0.000;67.000;0.000;8.000;0.000;22.000;0.000;3.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;opx plag mag;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.409;0.000;tabulated;6.195;2285.776975;53.86472652;72.620;0.280;16.540;1.460;0.580;2.120;3.360;3.800;4.700;2255.465143;40.23881449;0.000
25;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;1.000;850.000;nno;0.000;62.000;0.000;12.000;0.000;25.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;99.000;opx plag;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;4.755;0.000;tabulated;0.000;2315.209757;47.25182839;70.730;0.270;16.630;1.720;0.280;1.920;3.320;3.800;4.200;2239.626849;38.23393534;0.000
50;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;2.000;800.000;nno;0.000;62.000;0.000;0.000;0.000;20.000;17.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;plag amph mag;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;10.000;0.000;tabulated;0.000;2174.19041;65.46184685;70.320;0.230;13.340;1.800;0.320;2.050;3.060;3.140;6.200;2184.554986;46.33472864;0.000
51;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;2.000;800.000;nno;0.000;48.000;0.000;4.000;0.000;34.000;13.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;99.000;opx plag amph;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.424;0.000;tabulated;3.791;2286.178753;53.14844457;74.170;0.190;11.710;1.360;0.230;1.450;2.720;4.120;4.500;2222.329555;37.64111497;0.000
Jor46.2;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;24.00000;2.120;1100.000;nno;0.000;92.700;5.600;0.000;0.000;0.000;0.000;0.000;0.000;1.700;0.000;0.000;0.000;0.000;100.000;ol ilm;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;6.036;1.000;saturated;0.000;2326.940725;68.9380673;46.640;1.470;13.760;3.280;5.450;7.580;4.250;2.800;5.260;2283.115964;65.57913417;0.000
Jor46.11;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;49.00000;2.250;1075.000;nno;0.000;90.400;8.000;0.000;0.000;0.000;0.000;0.000;0.000;1.600;0.000;0.000;0.000;0.000;100.000;ol ilm;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;6.339;1.000;saturated;1.000;2323.877944;69.80595095;48.020;1.710;14.220;3.650;4.800;7.680;4.520;2.920;5.530;2283.304318;64.53417597;0.000
Jor46.20;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;49.00000;2.320;1060.000;nno;0.000;85.100;7.200;0.000;5.900;0.000;0.000;0.000;0.000;1.800;0.000;0.000;0.000;0.000;100.000;ol cpx ilm;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;6.508;1.000;saturated;2.000;2322.652475;70.2639872;50.080;1.510;15.070;3.870;4.460;6.780;4.700;3.100;5.660;2276.622628;62.56988685;0.000
Jor46.10;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;48.00000;2.210;1035.000;nno;0.000;69.000;0.000;0.000;5.600;0.000;18.300;0.000;0.000;1.800;5.100;0.000;0.000;0.000;99.800;cpx amph ilm bt;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;6.379;1.000;saturated;3.000;2334.16044;69.46089605;52.010;0.940;16.010;3.640;2.900;4.800;5.510;3.200;5.360;2260.743677;56.53401112;0.000
Jor46.4;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;60.00000;2.230;1000.000;nno;0.000;59.000;0.000;0.000;0.000;0.000;33.000;0.000;0.000;5.300;2.500;0.000;0.000;0.000;99.800;amph ilm bt;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;6.521;1.000;saturated;4.000;2339.856084;69.5504418;53.100;0.490;15.610;1.510;2.700;3.800;4.670;3.350;5.550;2211.434658;56.01227747;0.000
Jor46.21;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;48.00000;1.040;1020.000;nno;0.000;52.000;6.000;0.000;0.000;0.000;35.000;0.000;0.000;7.000;0.000;0.000;0.000;0.000;100.000;ol amph ilm;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;3.939;1.000;saturated;6.000;2429.095517;59.2778289;56.340;0.790;17.370;2.350;1.950;3.440;5.710;4.080;3.510;2288.849717;43.40328707;0.000
Jor46.3;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;52.00000;0.940;1000.000;nno;0.000;48.000;0.000;0.000;0.000;0.000;46.000;0.000;0.000;6.000;0.000;0.000;0.000;0.000;100.000;amph ilm;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;3.722;1.000;saturated;7.000;2443.611214;58.10265715;56.690;0.380;16.850;2.070;1.560;2.250;5.560;4.290;3.430;2270.920624;41.42549218;0.000
Jor46.19;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;53.00000;0.690;1000.000;nno;0.000;77.000;17.000;0.000;0.000;0.000;0.000;0.000;0.000;6.000;0.000;0.000;0.000;0.000;100.000;ol ilm;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;3.054;1.000;saturated;8.000;2472.790866;55.0525241;53.300;1.500;16.810;4.100;3.340;6.130;5.400;3.400;3.000;2379.383126;45.76160809;0.000
Jor46.23;Barclay, J., Carmichael, I.S.E. (2004) A hornblende basalt from western Mexico: water-saturated phase relations constrain a pressure-temperature window of eruptibility. Journal of Petrology 45 485-506. DOI: 10.1093/petrology/egg091;Barclay2004;LC;IHPV;AgPd;EQ;UC Berkeley;Apparatus cannot reach liquidus T below 3 kbar;49.00000;0.540;975.000;nno;0.000;40.000;1.000;0.000;0.000;0.000;48.000;0.000;0.000;11.000;0.000;0.000;0.000;0.000;100.000;ol amph ilm;49.210;1.330;0.000;14.190;3.750;4.540;0.000;8.320;7.680;4.590;2.820;2.642;1.000;saturated;9.000;2498.045914;52.87797375;60.540;0.550;18.220;1.260;0.920;2.030;6.620;4.500;2.530;2294.596235;34.28733876;0.000
8;Scaillet, B., Evans, B.W. (1999) The 15 June 1991 Eruption of Mount Pinatubo. I. Phase Equilibria and pre-eruption P-T-fO2-fH2O conditions of the dacite magma. Journal of Petrology 40 381-411. DOI: 10.1093/petroj/40.3.381;Scaillet1999;LC;IHPV;Au;EQ;Orleans Cedex, Uni Washington Seattle;Used dry powder + fluid of H2O & CO2 without high-T annealing to avoid experimental durations of several years;470.00000;2.210;785.000;nno;-2.700;57.200;0.000;0.000;0.000;28.100;11.700;2.000;0.000;1.000;0.000;0.000;0.000;0.000;100.000;plag amph mag ilm;65.500;0.450;0.000;16.350;4.500;0.000;0.000;2.110;4.820;4.450;1.670;6.394;1.000;saturated;0.000;2287.30284;52.06734686;75.540;0.170;14.380;1.040;0.380;1.950;3.690;2.780;7.880;2141.943979;50.41893617;0.000
9;Scaillet, B., Evans, B.W. (1999) The 15 June 1991 Eruption of Mount Pinatubo. I. Phase Equilibria and pre-eruption P-T-fO2-fH2O conditions of the dacite magma. Journal of Petrology 40 381-411. DOI: 10.1093/petroj/40.3.381;Scaillet1999;LC;IHPV;Au;EQ;Orleans Cedex, Uni Washington Seattle;Used dry powder + fluid of H2O & CO2 without high-T annealing to avoid experimental durations of several years;470.00000;2.210;785.000;nno;-2.610;47.400;0.000;0.000;0.000;37.600;12.000;2.000;0.000;0.900;0.000;0.000;0.000;0.000;99.900;plag amph mag ilm;65.500;0.450;0.000;16.350;4.500;0.000;0.000;2.110;4.820;4.450;1.670;5.429;0.860;saturated;0.000;2320.389773;48.38255893;77.830;0.100;13.180;0.980;0.320;1.400;3.090;3.070;7.570;2138.79656;48.37198239;0.000
16;Scaillet, B., Evans, B.W. (1999) The 15 June 1991 Eruption of Mount Pinatubo. I. Phase Equilibria and pre-eruption P-T-fO2-fH2O conditions of the dacite magma. Journal of Petrology 40 381-411. DOI: 10.1093/petroj/40.3.381;Scaillet1999;LC;CSPV;Au;EQ;Orleans Cedex, Uni Washington Seattle;Used dry powder + fluid of H2O & CO2 without high-T annealing to avoid experimental durations of several years;310.00000;2.240;776.000;nno;-0.010;52.300;0.000;0.000;0.000;32.500;14.700;0.000;0.000;0.500;0.000;0.000;0.000;0.000;100.000;plag amph ilm;65.500;0.450;0.000;16.350;4.500;0.000;0.000;2.110;4.820;4.450;1.670;6.409;1.000;saturated;0.000;2289.707797;52.01210405;75.460;0.260;13.960;1.010;0.700;2.090;3.640;2.760;7.420;2159.708355;49.13482605;0.000
17;Scaillet, B., Evans, B.W. (1999) The 15 June 1991 Eruption of Mount Pinatubo. I. Phase Equilibria and pre-eruption P-T-fO2-fH2O conditions of the dacite magma. Journal of Petrology 40 381-411. DOI: 10.1093/petroj/40.3.381;Scaillet1999;LC;CSPV;Au;EQ;Orleans Cedex, Uni Washington Seattle;Used dry powder + fluid of H2O & CO2 without high-T annealing to avoid experimental durations of several years;310.00000;2.240;776.000;nno;-0.010;55.000;0.000;0.000;0.000;29.600;11.900;0.000;0.000;0.300;0.000;0.000;0.000;0.000;96.800;plag amph Po ilm;65.500;0.450;0.000;16.350;4.500;0.000;0.000;2.110;4.820;4.450;1.670;6.409;1.000;saturated;0.000;2289.707797;52.01210405;75.930;0.230;14.040;0.870;0.540;2.000;3.600;2.730;7.760;2146.552001;49.97423245;0.000
18;Scaillet, B., Evans, B.W. (1999) The 15 June 1991 Eruption of Mount Pinatubo. I. Phase Equilibria and pre-eruption P-T-fO2-fH2O conditions of the dacite magma. Journal of Petrology 40 381-411. DOI: 10.1093/petroj/40.3.381;Scaillet1999;LC;CSPV;Au;EQ;Orleans Cedex, Uni Washington Seattle;Used dry powder + fluid of H2O & CO2 without high-T annealing to avoid experimental durations of several years;310.00000;2.240;776.000;nno;-1.040;50.800;0.000;0.000;0.000;31.500;17.000;0.000;0.000;0.700;0.000;0.000;0.000;0.000;100.000;plag amph ilm;65.500;0.450;0.000;16.350;4.500;0.000;0.000;2.110;4.820;4.450;1.670;6.409;1.000;saturated;0.000;2289.707797;52.01210405;75.610;0.220;14.200;1.150;0.400;1.940;3.490;2.940;7.940;2143.668467;50.51067032;0.000
19;Scaillet, B., Evans, B.W. (1999) The 15 June 1991 Eruption of Mount Pinatubo. I. Phase Equilibria and pre-eruption P-T-fO2-fH2O conditions of the dacite magma. Journal of Petrology 40 381-411. DOI: 10.1093/petroj/40.3.381;Scaillet1999;LC;CSPV;Au;EQ;Orleans Cedex, Uni Washington Seattle;Used dry powder + fluid of H2O & CO2 without high-T annealing to avoid experimental durations of several years;310.00000;2.240;776.000;nno;-1.040;52.800;0.000;0.000;0.000;31.500;12.100;0.000;0.000;0.300;0.000;0.000;0.000;0.000;96.700;plag amph Po ilm;65.500;0.450;0.000;16.350;4.500;0.000;0.000;2.110;4.820;4.450;1.670;6.409;1.000;saturated;0.000;2289.707797;52.01210405;76.160;0.230;14.270;0.950;0.390;1.740;3.360;2.870;8.110;2135.096247;50.83526991;0.000
